id,tweet,airline_name,airline_sentiment
681455390,@SouthwestAir so u Cancelled Flight our flight to PHX bc of SDF weather but flights 2 the NE from SDF are still going on?! WTF? http://t.co/NGG3N0wIaR,Southwest,negative
681455391,@SouthwestAir Show Jacksonville some __êùtoo!  We want #3ticketsforJax!,Southwest,neutral
681455392,@SouthwestAir Cancelled Flightled my flight without explanation and won't pick up the phone...25 minutes and counting.   #customerservice @olive201,Southwest,negative
681455394,@SouthwestAir so glad u guys do business w/ more class than UR competitors @SpiritAirlines __Ûè,Southwest,positive
681455395,"@SouthwestAir Thanks 4 the great service, staff, letting me change my flight 5 times for free! PVD to the skies for me always on SWA!",Southwest,positive
681455396,"@SouthwestAir my wife has now been on hold for 90 minutes....I get weather is bad, but this is insane. #customerservice #customerloyalty",Southwest,negative
681455397,@SouthwestAir I've been on hold for 2 hours!  When will you answer??,Southwest,negative
681455398,@SouthwestAir - i needed refund on my Cancelled Flightled flights this morning and had been on hold for more than an hour X 3. what to do?,Southwest,negative
681455399,@SouthwestAir thanks for the Cancelled Flightation today. Only airline that's Cancelled Flighted. Lost a customer today.,Southwest,negative
681455400,"@southwestair Cancelled Flightling flights due to winter weather is totally understandable, but it would sure be nice if you would answer your phones.",Southwest,negative
681455402,"@SouthwestAir, I've been on hold for 3 hrs. now, waiting to talk to someone with a pulse to get my Cancelled Flighted flight rescheduled. Is this SOP?",Southwest,negative
681455403,@SouthwestAir been on hold to rebook a flight to CMH for 1.5 hrs. Your rebook website is crashed.,Southwest,negative
681455404,@SouthwestAir been on hold so long to rebook my Cancelled Flightled flight I had enough time to rebook with @USAirways instead! Lots of room there!,Southwest,negative
681455405,@SouthwestAir Are we sure flights will not be Cancelled Flighted after 1200 I am trying to make plans in STL,Southwest,neutral
681455406,@SouthwestAir great flight! And great view! http://t.co/auFM4xdaj2,Southwest,positive
681455407,@SouthwestAir Have been on hold to reschedule a flight for 1.5 hours! Please help! Phone will be out of batteries soon.,Southwest,negative
681455408,@SouthwestAir 40 minutes still haven't talked to one person #shocking phone is gonna died before I talk to anyone http://t.co/iWoiGRLHXb,Southwest,negative
681455409,@SouthwestAir Flight 4315 (N231WN) taxis at @FlyTPA prior to flight to @Fly_Nashville http://t.co/IDRa8keNoH,Southwest,neutral
681455410,@SouthwestAir  at fort launder dale and the gate agent can't switch flights to an earlier flight but we can on our phone...ridiculous,Southwest,negative
681455411,@SouthwestAir so why is every single flight out of @PortColumbusCMH Cancelled Flightled for only your airline?,Southwest,negative
681455412,@SouthwestAir Cancelled Flightled my flight won't refund me and told me 2 call customer service n been holding for 30 minutes still waitin #BadService,Southwest,negative
681455413,@SouthwestAir I'm going to need you to answer your phones. Being on hold for an hour isn't okay.,Southwest,negative
681455414,@SouthwestAir almost an hour on hold for swa is inexcusable #hiremorepeople,Southwest,negative
681455415,@SouthwestAir is my favorite airline!  I can't wait to book my flight to New Orleans for my trip in April!! :) :),Southwest,positive
681455417,"@SouthwestAir Thanks for not telling us our flight was Cancelled Flightled, not helping us in anyway and ruining my birthday. #worstcustomerservice",Southwest,negative
681455418,"@SouthwestAir how is tkt in the A grp for a cxld flight gets stuck at the back of the Cs when your site, phone and agents took 1h to rebook",Southwest,negative
681455419,@SouthwestAir loving the boarding to go to Chicago #KeepItMovin',Southwest,positive
681455421,@SouthwestAir jumped the gun a little Cancelled Flighting our flights? No other airline is Cancelled Flighting out of Louisville. You're ruining my vacation.,Southwest,negative
681455423,@SouthwestAir On hold for two hours and it timed-out on me. Great system you got there.,Southwest,negative
681455425,@SouthwestAir Any plans to implement a call-back system on your reFlight Booking Problems line? Been on hold for over an hour now...,Southwest,negative
681455427,@SouthwestAir @Imaginedragons #DestinationDragons Scavenger Hunt rules: http://t.co/vHgkiTzSaw,Southwest,neutral
681455429,@SouthwestAir I need your help but no one will pick up the phone.,Southwest,negative
681455430,@SouthwestAir Anyone answering phone this morning at 800IFLYSWA? On hold 51 minutes and counting...,Southwest,negative
681455434,@SouthwestAir had a great LA flight with Clarence and Frank! Those 2 guys are a hoot! thanks,Southwest,positive
681455435,"@SouthwestAir why did I not receive drink coupons with 65,000 points? But all my friends did?",Southwest,negative
681455437,@SouthwestAir I have a flight on Sunday the 22nd to Columbus from Denver. I just got a travel alert on my southwest app. Is the rescheduling,Southwest,neutral
681455438,@SouthwestAir Do you have childrens rates for flights?,Southwest,neutral
681455439,@SouthwestAir how often are airplane seats/tray tables cleaned and sanitized? rather have air purifier and clean seats than #wifi __Û___Û±,Southwest,negative
681455440,@SouthwestAir I lost my luggage. My birthday wish is to find my luggage.,Southwest,negative
681455441,"@SouthwestAir  If you'd love to see more girls get inspired about becoming pilots, RT our free Albuquerque event. http://t.co/rfXlV1kGDh",Southwest,neutral
681455442,@SouthwestAir at troubadour with @Imaginedragons .#DestinationDragons http://t.co/rKlQXXaWhc,Southwest,neutral
681455443,"@SouthwestAir Hey there, can you follow us so we can DM you a question :) __ÛÅ",Southwest,neutral
681455445,@SouthwestAir Been sitting outside our gate for 30 mins at LGA. Why no move to another gate? We'e baking on this plane!?! flight #3415,Southwest,negative
681455446,@southwestair Grand total from landing to getting bag: one hour. That's very sad.,Southwest,negative
681455447,@southwestair Your staff was really kind about the flight delay. Luggage? Not at all. Very disappointing.,Southwest,negative
681455448,@SouthwestAir Hey southwest! I wanna go to see @Imaginedragons ! You guys are a lot better then jet blue.,Southwest,positive
681455449,"@southwestair Landed an hour Late Flight from IND to DEN, and 40+ min Late Flightr, our bags are not here. Not cool.",Southwest,negative
681455450,@SouthwestAir Hey southwest can you send me to Atlanta to see @Imaginedragons ? I will fly southwest forever. U guys are the best airline!,Southwest,positive
681455451,@SouthwestAir Horrible experience ever with airline..Have to reconsider any future flights. Customer service ... http://t.co/EczHcmM5vi,Southwest,negative
681455452,@SouthwestAir Salted or honey roasted? I vote to bring back the salted peanuts. I dread a year of the honey roasted!__Û_ http://t.co/RHw78ktQFO,Southwest,neutral
681455455,@SouthwestAir Do you still offer discounts on seats for children under 2? We would rather put him in a seat than in a lap!,Southwest,neutral
681455456,"@SouthwestAir wanting for the finding the gate. No apology or exp. All good, I'm sure connecting flight leaving SAC will be chill!",Southwest,negative
681455457,"@SouthwestAir sucks. Passengers leaving the plane to make room luggage, checking luggage and getting back on. Delayed flights to same city.",Southwest,negative
681455460,@SouthwestAir flight to San Diego is delayed per usual.. take me home!,Southwest,negative
681455461,@SouthwestAir how do I find travel funds I have available to use f/ past changed flights? don't see an option in my account.,Southwest,neutral
681455462,@SouthwestAir @FortuneMagazine,Southwest,positive
681455463,@SouthwestAir is making dreams come true with their #DestinationDragons scavenger hunt! You can win a chance to see Imagine Dragons! Go!,Southwest,positive
681455465,@SouthwestAir every other city on your nationwide sale has fabulous fares. Why nothing from Buffalo? except for 2 cities?,Southwest,negative
681455467,@SouthwestAir Well plane arrived pretty much on time and it's 68 degrees on the ground in Texas. Not much to complain about.,Southwest,positive
681455468,"@SouthwestAir not sure why we are still here in Dallas.  Plane has been at gate for 30 min.  No update at all.  Flight 1140, poor service.",Southwest,negative
681455469,"@SouthwestAir Loved one's flight ATL to IND Cancelled Flightled due to ""ice in Indy"". Sitting here in Indy, it is bone dry. Tomorrow 4-6"" of snow.",Southwest,negative
681455470,@SouthwestAir All's well. I got comped with multiple other bags which just made my day! http://t.co/1AAVvoREpH,Southwest,positive
681455471,@SouthwestAir thanks for the ride to Chicago. #kmdw #b738 http://t.co/6cpYPGFnD6,Southwest,positive
681455473,@SouthwestAir I'm in line at the airport right now. Will you cover hotel fair or am I to sleep in the airport?,Southwest,negative
681455474,"@SouthwestAir @JasonWhitely flt 947 Emer stop in Albuquer for a heart condition, crew was awesome, pilot was Maverick on the divert.",Southwest,positive
681455475,"@SouthwestAir Thanks so much. Appreciate your kindness in adjusting our reservation. Even during snowstorms, I still prefer Southwest. __‚ç",Southwest,positive
681455476,@SouthwestAir Cancelled Flightled my flight and I'm stranded in St. Louis. Not sure what to do. No other flight until tomorrow. Am I to sleep in airpt,Southwest,negative
681455478,"@SouthwestAir - stuck on the runway, again. Delayed on Wednesday. Not a good way to take care of your loyal customers.",Southwest,negative
681455479,@SouthwestAir you guys held our flight #330!  Thank you!!!  About to take off from MDW now to Oakland.  Thanks,Southwest,positive
681455480,@SouthwestAir first time flying with you. You've definitely won me over!,Southwest,positive
681455481,@SouthwestAir we're doing our best; sitting at a gate waiting (while not being given information why we're delayed) isn't making this easy,Southwest,negative
681455482,@SouthwestAir rocks! Open letter to flight attendant. http://t.co/zFrOINPSzI  &lt; my child was inspired.  Thank you.,Southwest,positive
681455484,@SouthwestAir thanks for an awesome flight and connection! We were delayed but your staff and crew were purely amazing!,Southwest,positive
681455485,@SouthwestAir great flight got us back on time!  Thanks,Southwest,positive
681455487,@SouthwestAir @SwagglikeBean take me here,Southwest,neutral
681455489,"@SouthwestAir thx for smooth landing today @fly2midway, we applauded! Now what can u do abt the weather? #takemeback http://t.co/OQZ7Wc4lLA",Southwest,positive
681455490,"@SouthwestAir not frustrated, just an idea! Great crew. Thanks! #happycustomer",Southwest,positive
681455492,@SouthwestAir my parents flight frm STL2ATL Cancelled Flighted 2nite. When's the next one out?!,Southwest,negative
681455493,@SouthwestAir well my mom called earlier and you guys had her on hold for close to an hour,Southwest,negative
681455494,@SouthwestAir there's an hour wait here for reFlight Booking Problems in line at Omaha.,Southwest,negative
681455497,@SouthwestAir alist pref doesn't do any good if direct to atl is always wifiless. Flight 1701.,Southwest,negative
681455498,@SouthwestAir is that the same reliable system couldn't find my info and then said it refund my credit card ?,Southwest,negative
681455499,"@SouthwestAir 14 hours????  Sorry don't get it. Oh well. Screw the weekend in Az right?  Eat the hotel, no problem.",Southwest,negative
681455500,"@SouthwestAir we had early bird, and it was great. Your employees were awesome. It was 3 passengers who killed the buzz.",Southwest,positive
681455501,@SouthwestAir I am absolutely sick of 300s and no wifi!,Southwest,negative
681455503,@SouthwestAir Ahah That is why,Southwest,positive
681455504,@SouthwestAir is the contest over for Destination Dragons? I want to try to do everything I can to go.,Southwest,neutral
681455505,@SouthwestAir you are lucky to have people like Annamarie and Norris at BWI. I hope they get recognized for excellent cust. service,Southwest,positive
681455507,@SouthwestAir  traveling 2bwi nMaryland 2morrw any chance the flight being Cancelled Flightled to inclement weather? Any chance can get earlier flight,Southwest,neutral
681455512,@SouthwestAir @SacIntlAirport Feels like a good day to fly!!  Thanks for the ontime departure to SNA!!:) #bestinclass #30000ft #takemehome,Southwest,positive
681455513,@SouthwestAir Great trip on 2672 yesterday - outstanding flight attendants,Southwest,positive
681455515,"@SouthwestAir $192 rndtrp 4/30-5/5 ""@DJQ_KC: RT @djimpact: If you're trying to make travel reservations for Vegas on May 2nd it's too Late Flight""",Southwest,neutral
681455516,@SouthwestAir I'm on the 10:55 flight! Everyone has been so nice and helpful! I'm just hoping we'll get to fly out! Thank you! ;),Southwest,positive
681455517,@SouthwestAir @dultch97 that's horse radish,Southwest,negative
681455518,@SouthwestAir thanks! More concerned about the conflicting texts I was receiving my about my flight  Having to drive 10 hours now __Û¢,Southwest,negative
681455519,@SouthwestAir Thank you!,Southwest,positive
681455521,@SouthwestAir    How's life @ the NOC?,Southwest,neutral
681455522,@SouthwestAir I will tell marry a lamp if you give me tickets to the Vegas show please I am desperate,Southwest,neutral
681455523,@SouthwestAir Are there any current promotions/codes for Nashville-Denver? Thank you!,Southwest,neutral
681455524,@SouthwestAir #promotion fly 3 roundtrip #flights to and from #ATL between 2/15 and 5/17 and get a companion pass for the year #travel,Southwest,neutral
681455525,@SouthwestAir so happy that you can finally put your #southwestairlines boarding pass into passbook! Makes life so much easier ___‰Èè,Southwest,positive
681455527,@SouthwestAir here we go again. Delayed in Chicago why offer the 630 flight if you never intend to fly it,Southwest,negative
681455528,@SouthwestAir OMG OMG OMG !!! I JUST DID!!,Southwest,neutral
681455529,@SouthwestAir @JulGood1 she was traveling with me the one that got miscommunicated with,Southwest,negative
681455530,"@SouthwestAir WTF, my flight was delayed and then I go to board and my boarding pass has disappeared from the Southwest app!",Southwest,negative
681455531,@SouthwestAir tweet just popped up on my phone with @amin_aur follows. Missing my favorite Southwest pilot and brother.,Southwest,neutral
681455533,@SouthwestAir I would be eternally grateful for tickets to the Vegas show. God bless,Southwest,neutral
681455534,@SouthwestAir baggage woman said it was in Blatimore and would be on a plane this morning. Now they can't find it. WTF!???,Southwest,negative
681455535,@SouthwestAir http://t.co/tTXRSyNLxr doesn't work on my flight. Just fyi.,Southwest,negative
681455536,@SouthwestAir PLEASE HELP! I would die to see the Vegas show! It would be amazing to hear their songs for real!,Southwest,neutral
681455544,@SouthwestAir not sure I can trust a statement with that many small numbers above words. http://t.co/o3sRL1hfho,Southwest,negative
681455545,@southwestair has posted flight schedule covering the date range of @_defcon_ 23,Southwest,neutral
681455546,@SouthwestAir Late Flightly you've always been Late Flight! Please get back to the old #SWA!!,Southwest,negative
681455547,"@SouthwestAir Totally sucks that my flights were weathered out of existence, but Stacy in Tucson helped with an overnight in Vegas!",Southwest,negative
681455548,@SouthwestAir are you guys alive? i've been on hold for 25 minutes and counting.....,Southwest,negative
681455549,@SouthwestAir Gary Kelly should be ashamed of himself running a corporation in this way,Southwest,negative
681455550,@SouthwestAir you guys just rip me off if I could Cancelled Flight every flight I had booked for my employees I  would Buyer beware,Southwest,negative
681455552,@SouthwestAir please acknowledge Attendant Jeff Wernicke. Beat in class and service on SW,Southwest,positive
681455553,@SouthwestAir LACMA on Fairfax.,Southwest,neutral
681455554,@SouthwestAir just want the money I paid for early bird refunded. Noone seemed to be able at three different. SW should have that worked out,Southwest,negative
681455555,@SouthwestAir I filled in the form on the website too. Darn it all. I guess I'll just have to cross my fingers.,Southwest,negative
681455556,@SouthwestAir THANK YOU SO MUCH FOR ACCESS TO #DestinationDragons TONIGHT AT @theTroubadour @Imaginedragons Crying /dying rn #ripme,Southwest,positive
681455559,@SouthwestAir heyo! What is causing flight 1836 ewr to hou to be delayed?,Southwest,negative
681455560,@SouthwestAir when will you have flight from DAL to PVD?,Southwest,neutral
681455561,"@SouthwestAir Your wifi stinks. I'm not mad, but i wouldn't hate it if i got my money refunded.",Southwest,negative
681455563,@SouthwestAir any spare tickets for Vegas? Would be forever grateful! #DestinationDragons,Southwest,neutral
681455565,@SouthwestAir THANK YOU SO MUCH!! http://t.co/tGSB1DfPS3,Southwest,positive
681455566,@SouthwestAir any chance they will change this to include Northeast airports?  JetBlue has.,Southwest,neutral
681455567,@SouthwestAir I was on hold for 30 minutes &amp; no one knows how to win these tickets that you're still handing out? #DestinationDragons,Southwest,negative
681455568,@SouthwestAir  after 38 minutes on the phone I'm given another number to call now still on hold with them. http://t.co/1ZT2kEe8up,Southwest,negative
681455569,@SouthwestAir please....can I have the last tickets for me and my best friend to #DestinationDragons http://t.co/eQqi1nfSZh,Southwest,neutral
